,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats,cluster
0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
8,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4
9,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
10,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
14,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
15,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3
16,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3
17,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
18,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
19,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
20,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
21,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
22,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
23,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
24,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
25,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
26,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
27,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
