,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
0,10,120,1,0,13,14,2,1,2,4,1,1,0,1,-1,-1,-1
1,157,120,1,0,4,13,0,1,1,4,1,1,0,1,-1,-1,-1
2,180,-1,0,0,3,-1,0,1,1,4,1,0,0,1,-1,-1,-1
3,97,-1,0,0,-1,-1,1,0,1,-1,0,0,0,0,-1,-1,-1
4,71,-1,0,0,-1,-1,3,1,3,2,1,0,0,1,1,1,1
5,40,19,1,0,-1,-1,1,1,2,4,1,0,0,1,1,1,1
6,116,50,1,0,-1,-1,1,0,3,4,1,0,0,1,1,1,1
7,53,-1,1,0,-1,-1,1,1,2,3,1,0,0,1,1,1,1
8,53,-1,1,0,-1,-1,1,0,2,3,1,0,0,1,1,1,1
9,53,-1,1,0,-1,-1,1,1,2,3,1,0,0,1,1,1,1
10,53,95,1,0,-1,-1,1,0,2,3,1,0,0,1,1,1,1
11,116,50,1,0,-1,-1,1,0,3,4,1,0,0,1,1,1,1
12,53,-1,1,0,-1,-1,1,1,2,3,1,0,0,1,1,1,-1
13,35,-1,1,0,2,13,0,0,2,4,1,1,0,1,-1,1,-1
14,157,-1,1,0,-1,-1,3,0,1,-1,1,0,0,0,-1,-1,-1
15,97,-1,1,0,-1,-1,0,1,0,-1,1,0,0,0,-1,-1,-1
16,175,120,1,0,-1,-1,0,1,2,-1,1,0,0,0,-1,-1,-1
17,157,-1,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
18,40,-1,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
19,157,-1,1,0,-1,-1,3,1,2,-1,1,0,0,0,-1,-1,-1
20,157,-1,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
21,157,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
22,71,120,1,0,-1,-1,1,1,3,-1,0,0,0,0,-1,-1,-1
23,180,33,1,0,12,-1,1,0,2,4,1,1,0,1,-1,1,-1
24,57,33,1,0,2,5,1,0,2,4,1,1,0,1,-1,1,-1
25,65,19,1,0,-1,-1,2,1,2,-1,1,0,1,0,1,1,1
26,57,-1,0,0,14,-1,0,0,3,4,1,0,0,1,-1,1,-1
27,57,-1,0,0,13,-1,2,0,3,4,1,0,0,1,-1,1,-1
28,57,-1,0,0,5,-1,2,0,3,4,1,0,0,1,-1,1,-1
29,65,-1,0,0,-1,-1,2,1,2,-1,1,1,0,0,-1,-1,-1
30,97,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
31,157,-1,1,0,-1,-1,2,1,1,-1,1,0,0,0,1,1,1
32,40,-1,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
33,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
34,57,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
35,71,120,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
36,57,120,1,0,-1,-1,3,1,3,-1,1,0,0,0,-1,-1,-1
37,164,120,1,0,-1,-1,3,1,2,-1,1,0,0,0,-1,-1,-1
38,195,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
39,124,60,1,0,2,-1,3,0,2,4,1,0,0,1,0,1,-1
40,97,-1,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
41,157,120,1,0,2,13,2,0,2,4,0,1,0,1,-1,1,-1
42,71,120,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
