,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
241,Australian Cattle Dog / Blue Heeler,Pit Bull Terrier,True,False,Black,White / Cream,Adult,Female,Large,Short,True,False,False,True,False,True,False
246,Shih Tzu,Pug,True,False,Black,Gray / Blue / Silver,Senior,Female,Small,Wire,True,True,False,True,True,True,True
357,Pit Bull Terrier,American Bulldog,True,False,Brown / Chocolate,White / Cream,Adult,Male,Large,Short,True,True,False,True,True,False,True
374,Cairn Terrier,Shih Tzu,True,False,Merle (Red),Yellow / Tan / Blond / Fawn,Young,Male,Small,Medium,False,True,False,False,True,True,True
378,Chihuahua,Terrier,True,False,Brown / Chocolate,White / Cream,Adult,Male,Small,Short,True,True,False,True,True,True,True
379,Terrier,Chihuahua,True,False,Brown / Chocolate,White / Cream,Adult,Male,Small,Short,True,True,False,True,True,True,True
457,Border Collie,Beagle,True,False,Black,White / Cream,Senior,Male,Medium,Short,True,True,False,True,False,True,False
458,Rottweiler,Shepherd,True,False,Black,Yellow / Tan / Blond / Fawn,Adult,Male,Medium,Medium,True,True,False,True,False,True,False
460,Chihuahua,Mixed Breed,True,False,Black,White / Cream,Adult,Female,Small,Short,True,True,False,True,True,True,False
586,American Bulldog,Pit Bull Terrier,True,False,Bicolor,Gray / Blue / Silver,Senior,Male,Large,Short,False,True,False,True,False,True,False
587,American Bulldog,Pit Bull Terrier,True,False,Bicolor,Brown / Chocolate,Senior,Male,Large,Short,True,True,False,True,False,False,False
590,Pointer,Pit Bull Terrier,True,False,Brindle,Brown / Chocolate,Adult,Female,Medium,Short,True,True,False,True,False,True,False
1073,Border Collie,Dalmatian,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,True,False,True,True,True,True
1225,Catahoula Leopard Dog,Labrador Retriever,True,False,Apricot / Beige,White / Cream,Adult,Male,Medium,Short,True,True,True,True,True,True,True
1242,Dachshund,Terrier,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Young,Female,Small,Short,True,True,False,True,True,True,True
1254,Terrier,Shih Tzu,True,False,Black,Gray / Blue / Silver,Adult,Male,Small,Long,True,False,False,True,False,True,True
1354,Hound,Doberman Pinscher,True,False,White / Cream,Yellow / Tan / Blond / Fawn,Baby,Male,Medium,Short,False,False,False,True,True,True,True
1357,Hound,Doberman Pinscher,True,False,Black,Brown / Chocolate,Baby,Male,Medium,Short,False,False,False,True,True,True,True
1431,Terrier,Pug,True,False,Gray / Blue / Silver,White / Cream,Young,Male,Small,Short,True,True,False,True,True,True,True
