,breed_primary,breed_mixed,breed_unknown,color_primary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs
39,106,1,0,2,3,0,2,4,1,0,0,1,0,1
61,95,0,0,2,1,0,1,2,1,1,0,1,0,1
71,49,0,0,4,3,1,3,4,1,1,0,1,0,1
72,103,0,0,13,1,1,2,3,1,1,0,1,1,1
73,59,1,0,1,3,0,3,4,1,1,0,1,1,1
74,49,1,0,10,2,0,3,4,1,1,0,1,1,1
84,101,1,0,4,1,1,2,4,1,0,0,1,1,1
85,140,1,0,14,0,1,2,3,1,0,0,1,1,1
86,94,1,0,1,0,0,2,4,1,0,0,1,1,1
89,49,1,0,13,3,0,3,4,0,1,0,1,1,1
101,84,1,0,2,0,1,1,3,1,1,0,1,1,1
117,148,1,0,2,1,0,3,4,1,0,0,1,1,1
146,113,0,0,1,3,1,3,4,1,1,0,1,1,1
166,101,1,0,0,3,0,3,3,1,1,0,1,0,1
167,101,1,0,0,3,0,3,3,1,1,0,1,0,1
178,152,1,0,1,0,0,2,3,1,0,0,1,1,1
179,34,1,0,2,0,0,2,4,1,0,0,1,1,0
180,144,1,0,0,1,1,1,3,1,0,0,1,1,1
198,64,0,0,10,2,1,2,4,1,1,0,1,1,1
237,101,1,0,12,3,1,3,4,1,0,0,1,1,1
238,98,0,0,10,0,1,3,4,1,0,0,1,1,1
239,182,0,0,6,2,1,3,3,1,0,0,1,1,1
240,39,0,0,2,0,0,3,4,1,0,0,1,1,1
241,11,1,0,2,0,0,1,4,1,0,0,1,0,1
245,155,1,0,6,2,1,3,5,1,1,0,1,1,1
246,155,1,0,2,2,0,3,5,1,1,0,1,1,1
253,165,1,0,2,0,0,3,3,1,1,0,1,0,0
300,58,0,0,10,1,1,1,4,1,1,0,1,1,1
307,165,1,0,2,0,1,2,4,1,1,0,0,1,1
311,88,1,0,0,0,1,1,4,1,1,0,1,1,1
315,106,1,0,2,3,1,2,4,1,0,0,1,1,1
316,106,1,0,3,3,1,1,4,1,0,0,1,1,1
321,49,0,0,14,3,1,3,4,1,1,0,1,1,1
322,39,0,0,2,2,1,3,4,1,1,0,1,1,1
323,156,0,0,6,1,1,1,4,1,1,0,1,1,1
325,101,1,0,14,3,0,3,4,1,1,0,1,1,1
328,130,0,0,4,0,0,2,4,1,1,0,1,1,1
333,100,1,0,0,3,0,3,4,1,1,0,1,1,1
335,165,1,0,2,0,1,3,4,1,1,0,1,1,1
337,130,1,0,10,0,0,2,4,1,1,0,1,1,1
338,84,1,0,12,3,0,1,4,1,1,0,1,1,1
339,132,1,0,0,1,0,2,4,1,1,0,1,1,1
345,132,1,0,13,1,0,1,4,1,0,0,1,1,1
347,134,1,0,2,0,0,3,0,1,0,1,1,1,1
348,182,1,0,2,0,1,3,5,1,0,0,1,1,1
351,49,0,0,0,0,0,3,4,1,1,0,1,1,1
352,95,1,0,11,3,1,1,3,1,1,0,1,1,1
353,9,0,0,12,3,0,2,3,1,1,0,1,1,1
354,9,0,0,6,0,0,2,4,1,1,0,0,1,1
355,9,0,0,3,0,0,2,4,0,0,0,0,1,1
357,130,1,0,4,0,1,1,4,1,1,0,1,1,0
358,130,0,0,6,3,0,1,4,1,1,0,1,1,1
359,130,0,0,4,3,0,2,4,1,1,0,1,1,1
367,116,1,0,13,3,1,2,3,1,1,1,1,1,1
368,6,1,0,4,0,1,1,4,1,1,0,1,0,0
373,95,0,0,2,0,1,2,3,1,0,0,1,0,1
374,39,1,0,9,3,1,3,3,0,1,0,0,1,1
378,49,1,0,4,0,1,3,4,1,1,0,1,1,1
379,165,1,0,4,0,1,3,4,1,1,0,1,1,1
389,171,0,0,12,1,0,1,4,1,1,0,1,1,1
391,180,0,0,2,0,0,3,1,1,1,0,1,1,1
406,13,1,0,5,2,0,2,4,1,1,0,1,1,1
409,94,1,0,2,3,1,1,4,1,1,0,1,1,1
410,62,1,0,13,3,0,3,4,1,0,0,1,1,1
411,74,1,0,4,3,1,2,4,1,1,0,1,1,1
427,6,1,0,12,0,1,1,4,1,0,1,1,1,1
447,34,0,0,3,0,1,1,4,1,1,0,1,1,0
457,30,1,0,2,2,1,2,4,1,1,0,1,0,1
458,142,1,0,2,0,1,2,3,1,1,0,1,0,1
459,49,1,0,4,2,0,3,4,1,1,0,1,1,1
460,49,1,0,2,0,0,3,4,1,1,0,1,1,1
461,112,1,0,3,1,0,1,4,1,0,0,0,1,1
462,106,1,0,2,0,0,2,4,1,1,0,1,1,1
463,34,1,0,3,0,1,2,4,1,1,0,1,1,1
468,106,1,0,2,0,1,1,4,1,0,0,1,1,1
471,106,1,0,2,1,0,1,4,1,0,0,1,1,1
472,106,1,0,2,1,0,1,4,1,0,0,1,1,1
473,49,0,0,2,1,0,3,4,1,0,0,0,1,1
474,130,1,0,2,0,1,2,4,1,1,0,1,1,1
