,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
4,3,1,3,1,0,0,1,1,1,1
5,1,1,2,1,0,0,1,1,1,1
6,1,0,3,1,0,0,1,1,1,1
7,1,1,2,1,0,0,1,1,1,1
8,1,0,2,1,0,0,1,1,1,1
9,1,1,2,1,0,0,1,1,1,1
10,1,0,2,1,0,0,1,1,1,1
11,1,0,3,1,0,0,1,1,1,1
25,2,1,2,1,0,1,0,1,1,1
31,2,1,1,1,0,0,0,1,1,1
89,3,0,3,0,1,0,1,1,1,1
103,1,0,3,0,0,0,1,1,1,1
104,1,1,3,0,0,0,1,1,1,1
105,1,0,3,0,0,0,1,1,1,1
139,3,1,3,1,1,0,1,1,1,1
160,3,1,3,1,0,0,1,1,1,0
237,3,1,3,1,0,0,1,1,1,0
238,0,1,3,1,0,0,1,1,1,1
239,2,1,3,1,0,0,1,1,1,1
240,0,0,3,1,0,0,1,1,1,1
241,0,0,1,1,0,0,1,0,1,0
244,0,0,1,1,1,0,1,1,0,0
246,2,0,3,1,1,0,1,1,1,1
254,3,0,2,1,1,0,1,1,1,1
274,3,0,2,1,1,0,1,1,1,1
277,0,1,1,1,0,0,1,0,0,0
279,0,0,1,1,0,0,1,0,0,0
309,3,0,2,1,1,0,1,1,1,1
310,0,0,3,1,1,0,1,1,1,1
313,3,0,2,1,0,0,1,1,0,0
318,0,0,2,1,0,0,1,1,1,1
319,1,1,3,1,0,0,1,1,1,1
321,3,1,3,1,1,0,1,1,1,1
322,2,1,3,1,1,0,1,1,1,1
325,3,0,3,1,1,0,1,1,1,1
328,0,0,2,1,1,0,1,1,1,1
329,0,1,3,0,1,0,1,1,1,1
333,3,0,3,1,1,0,1,1,1,1
337,0,0,2,1,1,0,1,1,1,0
341,0,1,2,1,1,0,1,1,1,0
344,1,0,3,1,0,0,1,1,1,1
345,1,0,1,1,0,0,1,1,1,0
351,0,0,3,1,1,0,1,1,1,1
352,3,1,1,1,1,0,1,1,1,0
357,0,1,1,1,1,0,1,1,0,1
361,2,0,0,1,1,1,0,1,1,1
362,0,1,1,1,1,1,1,1,1,1
367,3,1,2,1,1,1,1,1,1,1
373,0,1,2,1,0,0,1,0,1,1
374,3,1,3,0,1,0,0,1,1,1
378,0,1,3,1,1,0,1,1,1,1
379,0,1,3,1,1,0,1,1,1,1
386,2,1,3,1,1,0,0,1,1,1
387,3,1,3,1,0,0,1,1,1,1
409,3,1,1,1,1,0,1,1,1,0
410,3,0,3,1,0,0,1,1,1,1
432,2,0,3,1,1,1,0,1,1,1
445,0,0,1,1,1,0,1,1,1,0
446,3,0,2,1,1,0,1,1,1,0
447,0,1,1,1,1,0,1,1,0,1
448,2,1,3,1,1,1,0,1,1,1
457,2,1,2,1,1,0,1,0,1,0
458,0,1,2,1,1,0,1,0,1,0
459,2,0,3,1,1,0,1,1,1,0
460,0,0,3,1,1,0,1,1,1,0
463,0,1,2,1,1,0,1,1,1,1
509,2,0,3,1,0,1,1,1,1,1
537,2,1,3,1,1,0,1,1,1,1
541,0,0,0,1,1,0,1,0,0,0
560,1,0,3,1,0,1,1,1,1,1
569,0,1,1,1,1,0,1,1,1,1
570,0,1,1,1,0,0,1,1,1,1
574,2,0,2,1,1,0,0,0,1,1
585,0,0,2,1,1,0,1,0,0,0
586,2,1,1,0,1,0,1,0,1,0
587,2,1,1,1,1,0,1,0,0,0
588,2,1,1,1,1,0,1,0,0,0
590,0,0,2,1,1,0,1,0,1,0
592,0,0,1,1,1,0,1,0,0,0
593,2,0,1,1,1,0,1,0,0,0
599,1,0,1,1,1,0,1,1,0,1
607,3,1,2,1,1,0,1,1,1,1
614,2,0,2,1,1,0,1,1,1,1
615,0,0,2,1,1,0,1,1,1,0
619,0,1,3,1,1,0,1,1,1,1
622,3,0,1,1,1,1,1,0,0,0
628,0,0,1,0,0,0,0,1,1,0
646,0,1,1,1,1,0,0,1,1,0
700,0,0,3,1,1,0,1,0,1,0
715,0,1,1,1,1,0,1,0,0,0
