,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
4,1,1,0,1,0,0,1,1,1,1
5,0,1,1,1,0,0,1,1,1,1
6,0,0,0,1,0,0,1,1,1,1
7,0,1,1,1,0,0,1,1,1,1
8,0,0,1,1,0,0,1,1,1,1
9,0,1,1,1,0,0,1,1,1,1
10,0,0,1,1,0,0,1,1,1,1
11,0,0,0,1,0,0,1,1,1,1
25,3,1,1,1,0,1,0,1,1,1
31,3,1,2,1,0,0,0,1,1,1
89,1,0,0,0,1,0,1,1,1,1
103,0,0,0,0,0,0,1,1,1,1
104,0,1,0,0,0,0,1,1,1,1
105,0,0,0,0,0,0,1,1,1,1
139,1,1,0,1,1,0,1,1,1,1
160,1,1,0,1,0,0,1,1,1,0
237,1,1,0,1,0,0,1,1,1,0
238,2,1,0,1,0,0,1,1,1,1
239,3,1,0,1,0,0,1,1,1,1
240,2,0,0,1,0,0,1,1,1,1
241,2,0,2,1,0,0,1,0,1,0
244,2,0,2,1,1,0,1,1,0,0
246,3,0,0,1,1,0,1,1,1,1
254,1,0,1,1,1,0,1,1,1,1
274,1,0,1,1,1,0,1,1,1,1
277,2,1,2,1,0,0,1,0,0,0
279,2,0,2,1,0,0,1,0,0,0
309,1,0,1,1,1,0,1,1,1,1
310,2,0,0,1,1,0,1,1,1,1
313,1,0,1,1,0,0,1,1,0,0
318,2,0,1,1,0,0,1,1,1,1
319,0,1,0,1,0,0,1,1,1,1
321,1,1,0,1,1,0,1,1,1,1
322,3,1,0,1,1,0,1,1,1,1
325,1,0,0,1,1,0,1,1,1,1
328,2,0,1,1,1,0,1,1,1,1
329,2,1,0,0,1,0,1,1,1,1
333,1,0,0,1,1,0,1,1,1,1
337,2,0,1,1,1,0,1,1,1,0
341,2,1,1,1,1,0,1,1,1,0
344,0,0,0,1,0,0,1,1,1,1
345,0,0,2,1,0,0,1,1,1,0
351,2,0,0,1,1,0,1,1,1,1
352,1,1,2,1,1,0,1,1,1,0
357,2,1,2,1,1,0,1,1,0,1
361,3,0,3,1,1,1,0,1,1,1
362,2,1,2,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1,1,1,1
373,2,1,1,1,0,0,1,0,1,1
374,1,1,0,0,1,0,0,1,1,1
378,2,1,0,1,1,0,1,1,1,1
379,2,1,0,1,1,0,1,1,1,1
386,3,1,0,1,1,0,0,1,1,1
387,1,1,0,1,0,0,1,1,1,1
409,1,1,2,1,1,0,1,1,1,0
410,1,0,0,1,0,0,1,1,1,1
432,3,0,0,1,1,1,0,1,1,1
445,2,0,2,1,1,0,1,1,1,0
446,1,0,1,1,1,0,1,1,1,0
447,2,1,2,1,1,0,1,1,0,1
448,3,1,0,1,1,1,0,1,1,1
457,3,1,1,1,1,0,1,0,1,0
458,2,1,1,1,1,0,1,0,1,0
459,3,0,0,1,1,0,1,1,1,0
460,2,0,0,1,1,0,1,1,1,0
463,2,1,1,1,1,0,1,1,1,1
509,3,0,0,1,0,1,1,1,1,1
537,3,1,0,1,1,0,1,1,1,1
541,2,0,3,1,1,0,1,0,0,0
560,0,0,0,1,0,1,1,1,1,1
569,2,1,2,1,1,0,1,1,1,1
570,2,1,2,1,0,0,1,1,1,1
574,3,0,1,1,1,0,0,0,1,1
585,2,0,1,1,1,0,1,0,0,0
586,3,1,2,0,1,0,1,0,1,0
587,3,1,2,1,1,0,1,0,0,0
588,3,1,2,1,1,0,1,0,0,0
590,2,0,1,1,1,0,1,0,1,0
592,2,0,2,1,1,0,1,0,0,0
593,3,0,2,1,1,0,1,0,0,0
599,0,0,2,1,1,0,1,1,0,1
607,1,1,1,1,1,0,1,1,1,1
614,3,0,1,1,1,0,1,1,1,1
615,2,0,1,1,1,0,1,1,1,0
619,2,1,0,1,1,0,1,1,1,1
622,1,0,2,1,1,1,1,0,0,0
628,2,0,2,0,0,0,0,1,1,0
646,2,1,2,1,1,0,0,1,1,0
700,2,0,0,1,1,0,1,0,1,0
715,2,1,2,1,1,0,1,0,0,0
724,1,1,1,1,1,0,1,0,0,0
785,3,0,0,1,1,0,1,1,1,1
